ticker,name,sector,industry,returns_mean,returns_std,beta,alpha,sharpe_ratio,max_drawdown,market_cap_log,volume_mean,volatility
AAPL,Apple Inc.,Technology,Consumer Electronics,0.1485296674119819,0.2741762580608054,1.0971791204128223,0.1664369297816829,-1837.8348937356243,-0.2719205448769173,28.671249541742686,55364872.50996016,0.2741762580608054
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,-0.13694274497635556,0.2200664073620733,0.9757749095019133,-0.12544299197609948,-2291.01830013012,-0.22590806262488639,28.614986647593188,20800889.24302789,0.2200664073620733
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.001972244990022782,0.29678626130668173,1.1227286985979537,0.021227970978722404,-1698.3173321476302,-0.2936927603678555,28.211351461650327,27602618.326693226,0.29678626130668173
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,-0.03362495743179195,0.3024948465252661,1.3838339821223047,-0.0005885352214300144,-1666.3849137038171,-0.29356357215277906,28.22556632577545,40674818.7250996,0.3024948465252661
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,0.015351191760256051,0.3325315249939641,1.325651666253541,0.0453168495278699,-1515.7175626666126,-0.31423968889961773,27.876954351675305,14453239.840637451,0.3325315249939641
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,0.6174992600266749,0.7013814467855067,2.5584807352926298,0.7125315555288637,-717.757401215306,-0.5370524722253526,27.36982693697483,94496687.25099601,0.7013814467855067
NVDA,NVIDIA Corporation,Technology,Semiconductors,0.23624273218549185,0.573909931486855,2.38046720396145,0.32187977392066314,-877.8432875834931,-0.368810279833536,28.464436081770074,313404401.5936255,0.573909931486855
JPM,JP Morgan Chase & Co.,Financial Services,Banks - Diversified,0.11888786943497748,0.2777566482347893,1.0364606757397394,0.13359051476362374,-1814.2512127019243,-0.24886590601829073,27.099935052568018,9441323.412698412,0.2777566482347893
V,Visa Inc.,Financial Services,Credit Services,0.15009858363732967,0.19675683775055153,0.6754040320937906,0.14574526863557621,-2560.97389520265,-0.13669319219293175,27.12689118271388,7212202.3904382475,0.19675683775055153
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,0.3684886909360031,0.2241402731273592,0.5098883247904719,0.35539973622802407,-2247.122875540961,-0.20591671384561783,27.22593862798945,17160668.525896415,0.2241402731273592
PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,0.088372075957127,0.17615787472061717,0.03997771606061716,0.05048203234418669,-2860.790938178167,-0.11764049576256919,26.673828087645965,6937224.302788844,0.17615787472061717
